iter	Passed	Remaining
0	15	15285
1	53	26470
2	67	22572
3	98	24638
4	139	27768
5	144	23987
6	151	21548
7	202	25109
8	211	23317
9	244	24254
10	252	22719
11	259	21356
12	309	23520
13	335	23650
14	365	24022
15	406	24986
16	414	23978
17	453	24752
18	489	25268
19	528	25915
20	549	25627
21	564	25076
22	580	24665
23	649	26415
24	665	25948
25	676	25330
26	685	24709
27	728	25294
28	738	24719
29	762	24650
30	769	24051
31	794	24024
32	803	23538
33	843	23976
34	875	24140
35	885	23705
36	915	23818
37	940	23813
38	950	23422
39	982	23570
40	997	23330
41	1013	23107
42	1097	24425
43	1136	24682
44	1160	24620
45	1167	24203
46	1177	23871
47	1188	23578
48	1196	23216
49	1249	23747
50	1272	23673
51	1332	24290
52	1347	24085
53	1360	23827
54	1367	23493
55	1377	23219
56	1382	22869
57	1389	22560
58	1400	22338
59	1417	22205
60	1452	22354
61	1461	22115
62	1481	22033
63	1507	22043
64	1544	22211
65	1561	22091
66	1572	21899
67	1579	21645
68	1589	21451
69	1598	21237
70	1610	21067
71	1617	20852
72	1652	20979
73	1688	21128
74	1722	21239
75	1791	21779
76	1853	22214
77	1865	22051
78	1889	22029
79	1898	21829
80	1904	21605
81	1917	21465
82	1947	21513
83	1963	21414
84	1968	21185
85	1974	20985
86	1978	20765
87	2005	20779
88	2028	20764
89	2032	20552
90	2039	20370
91	2044	20174
92	2050	20000
93	2071	19966
94	2079	19814
95	2093	19710
96	2098	19538
97	2105	19375
98	2127	19365
99	2160	19445
100	2185	19454
101	2208	19445
102	2233	19446
103	2247	19358
104	2267	19329
105	2291	19327
106	2300	19201
107	2320	19161
108	2343	19155
109	2364	19129
110	2379	19055
111	2399	19023
112	2426	19044
113	2446	19014
114	2465	18972
115	2487	18952
116	2507	18923
117	2527	18892
118	2549	18872
119	2571	18857
120	2592	18835
121	2616	18833
122	2644	18853
123	2668	18852
124	2686	18807
125	2707	18779
126	2729	18760
127	2751	18747
128	2774	18734
129	2795	18710
130	2819	18704
131	2843	18701
132	2869	18703
133	2885	18646
134	2905	18613
135	2931	18621
136	2955	18619
137	2973	18576
138	2992	18535
139	3010	18495
140	3034	18487
141	3056	18466
142	3081	18468
143	3100	18432
144	3122	18411
145	3143	18387
146	3165	18367
147	3189	18358
148	3207	18317
149	3230	18307
150	3252	18288
151	3278	18289
152	3300	18271
153	3321	18247
154	3342	18222
155	3362	18194
156	3382	18161
157	3402	18133
158	3427	18128
159	3448	18104
160	3470	18085
161	3497	18092
162	3521	18082
163	3542	18060
164	3567	18052
165	3589	18035
166	3612	18021
167	3644	18049
168	3667	18031
169	3689	18012
170	3711	17992
171	3734	17979
172	3771	18027
173	3809	18085
174	3830	18056
175	3855	18048
176	3876	18024
177	3899	18005
178	3922	17990
179	3952	18006
180	3981	18016
181	4006	18007
182	4026	17977
183	4046	17943
184	4068	17922
185	4091	17906
